# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Batchcode Search Term
# 20230211-20230411
# ----------------------------------------

Land,United States,Germany,Canada,Italy,United Kingdom,Japan,Brazil,Australia,Poland,Austria,Hungary,Netherlands,Romania,France,Switzerland,Spain,Sweden,Philippines,New Zealand,Mexico,Gesamt
Batchcode Search Term,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl
FE3590,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
FL5324,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0,1,0,0,0,37
FN7934,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
043D21A,2,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1D020A,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
ACB9148,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
EP2163,0,9,1,0,0,1,2,0,0,2,3,0,1,0,0,0,0,0,1,0,36
FD8448,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
FE2625,0,12,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36
FF3319,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
FH8020,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
011J20A,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
020B21A,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
EW0168,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35
EW0169,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
FA4632,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,9,17,0,0,0,35
FD7959,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35
FF8848 ,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35
FN2908,12,0,3,7,2,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,35
SCRM8,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35
010A21A,28,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,34
EL9265,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
EL9266,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34
EW0161,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
EW0178,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
FC1440,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
FE2083,0,0,0,2,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,34
XE395,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,34
016M20A,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
025L20A,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
030L20A,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
038B21A,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
