# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230125-20230325
# ----------------------------------------

Country,United States,Germany,Canada,United Kingdom,Italy,Totals
Clicked Batchcode,Event count,Event count,Event count,Event count,Event count,Event count
PFIZER FF3319,0,0,0,2,0,2
PFIZER FH8027,2,0,0,0,0,2
PW40011,0,0,0,2,0,2
PW40041,0,0,0,1,0,2
SCRM8,0,2,0,0,0,2
SCVY8,0,2,0,0,0,2
TPH 032B21A,2,0,0,0,0,2
UNKONWN,0,0,0,0,0,2
V2117445,0,0,0,0,0,2
VEL9261,2,0,0,0,0,2
XD955,0,1,0,0,0,2
XE395,0,2,0,0,0,2
XE436,0,0,0,0,0,2
#002A21A,1,0,0,0,0,1
#011J20A,1,0,0,0,0,1
#011M20A,1,0,0,0,0,1
#030H21B,1,0,0,0,0,1
#037K20A,1,0,0,0,0,1
#046B21A,1,0,0,0,0,1
#058F21A,1,0,0,0,0,1
#EL3248,1,0,0,0,0,1
#EL3302,1,0,0,0,0,1
#EP7534,1,0,0,0,0,1
#ER8731,1,0,0,0,0,1
#EW0173,1,0,0,0,0,1
#FC3180,1,0,0,0,0,1
-,0,1,0,0,0,1
..1F1021A,0,1,0,0,0,1
000002A,0,0,0,0,0,1
000004A,0,0,0,0,1,1
000009A,0,0,0,0,0,1
000021A,0,0,0,0,0,1
00002A,0,0,0,0,0,1
000030A,0,0,0,0,1,1
000030A - SCADE,0,0,0,0,1,1
000030A S 31/3/,0,0,0,0,1,1
000031A,0,0,0,0,0,1
000061A,0,0,0,0,1,1
000121A,0,1,0,0,0,1
000198A,0,0,0,0,0,1
0002121A,0,0,0,0,0,1
000214A,0,0,0,0,0,1
000237A,0,0,0,0,0,1
000268A,0,0,0,0,0,1
000278A,0,0,0,0,0,1
0002C21A,1,0,0,0,0,1
000300A,0,0,0,0,0,1
000306A,0,0,0,0,0,1
000317A,0,0,0,0,0,1
0007B21A,1,0,0,0,0,1
0010A21A,1,0,0,0,0,1
0011J20A,1,0,0,0,0,1
0011L20A,1,0,0,0,0,1
001C21A,1,0,0,0,0,1
0021B21A,1,0,0,0,0,1
0021G21A,0,0,0,0,0,1
0022M20A,1,0,0,0,0,1
002C21A,1,0,0,0,0,1
002C21A/PUBLIC,1,0,0,0,0,1
002K21A,0,0,0,0,0,1
002L21A,0,0,0,0,0,1
0032B21A,1,0,0,0,0,1
003A21A,0,0,0,0,0,1
003B21A,1,0,0,0,0,1
0044B21A,1,0,0,0,0,1
004M20A,0,0,0,0,1,1
005H21A,0,0,0,0,0,1
006C21A,1,0,0,0,0,1
00K21A,0,0,0,0,0,1
010612B,0,0,0,0,0,1
010621B,0,0,0,0,0,1
010G211,0,0,0,0,0,1
010G21B,0,0,0,0,0,1
010M204,1,0,0,0,0,1
011A21A,0,0,0,0,0,1
011D21A,1,0,0,0,0,1
011J20A  5/21,1,0,0,0,0,1
011J20A (SHOT 1,1,0,0,0,0,1
011J20A 12/31/2,1,0,0,0,0,1
011J20A 2069123,1,0,0,0,0,1
011J20A AND 028,1,0,0,0,0,1
011J20A EXP 05/,1,0,0,0,0,1
011J20A OR 011J,1,0,0,0,0,1
"011J20A,",1,0,0,0,0,1
"011J20A, 004M20",1,0,0,0,0,1
"011J20A, 028L20",1,0,0,0,0,1
011J20A. 12/31/,1,0,0,0,0,1
011J20A/011T20A,1,0,0,0,0,1
011J20A/028L20A,1,0,0,0,0,1
011J20A/129200,1,0,0,0,0,1
011J20A/12997,1,0,0,0,0,1
